68,136
73,146
55,110
3,6
94,188
25,50
92,184
37,74
49,98
77,154
63,126
16,32
21,42
66,132
34,68
64,128
39,78
80,160
73,146
25,50
24,48
67,134
87,174
15,30
66,132
97,194
78,156
12,24
86,172
14,28
8,16
98,196
80,160
12,24
54,108
68,136
69,138
43,86
67,134
18,36
4,8
9,18
100,200
67,134
69,138
91,182
32,64
97,194
41,82
62,124
47,94
11,22
63,126
72,144
35,70
79,158
71,142
13,26
6,12
16,32
74,148
60,120
95,190
73,146
56,112
31,62
91,182
46,92
78,156
93,186
77,154
62,124
46,92
38,76
25,50
34,68
58,116
64,128
63,126
63,126
18,36
9,18
33,66
3,6
41,82
44,88
87,174
84,168
72,144
37,74
45,90
41,82
57,114
12,24
36,72
26,52
65,130
61,122
52,104
66,132
61,122
2,4
77,154
92,184
49,98
37,74
44,88
36,72
0,0
93,186
19,38
100,200
48,96
15,30
97,194
32,64
48,96
83,166
25,50
52,104
12,24
41,82
42,84
56,112
54,108
20,40
16,32
32,64
62,124
19,38
71,142
47,94
84,168
43,86
97,194
37,74
56,112
56,112
23,46
94,188
53,106
70,140
36,72
18,36
54,108
5,10
45,90
11,22
1,2
19,38
75,150
99,198
40,80
70,140
94,188
46,92
10,20
66,132
65,130
100,200
48,96
99,198
67,134
51,102
88,176
35,70
58,116
82,164
24,48
96,192
92,184
9,18
29,58
63,126
86,172
9,18
38,76
55,110
36,72
43,86
18,36
29,58
99,198
44,88
48,96
71,142
74,148
22,44
37,74
66,132
86,172
93,186
36,72
26,52
55,110
73,146
60,120
84,168
0,0
36,72
77,154
53,106
61,122
62,124
28,56
19,38
71,142
7,14
75,150
24,48
6,12
77,154
62,124
2,4
13,26
8,16
82,164
93,186
11,22
79,158
71,142
6,12
4,8
21,42
15,30
44,88
99,198
92,184
47,94
9,18
30,60
52,104
85,170
89,178
68,136
52,104
52,104
17,34
1,2
21,42
50,100
8,16
14,28
30,60
59,118
90,180
14,28
52,104
9,18
90,180
14,28
0,0
93,186
31,62
28,56
7,14
66,132
100,200
36,72
9,18
57,114
10,20
42,84
6,12
60,120
11,22
29,58
11,22
35,70
96,192
58,116
86,172
61,122
17,34
10,20
47,94
90,180
34,68
82,164
25,50
91,182
80,160
25,50
45,90
25,50
9,18
47,94
10,20
91,182
33,66
66,132
72,144
49,98
3,6
1,2
58,116
82,164
3,6
56,112
14,28
89,178
11,22
53,106
10,20
72,144
91,182
64,128
92,184
56,112
22,44
13,26
70,140
0,0
51,102
12,24
85,170
32,64
72,144
16,32
68,136
29,58
64,128
63,126
62,124
86,172
44,88
3,6
71,142
57,114
54,108
50,100
58,116
8,16
29,58
22,44
38,76
4,8
23,46
15,30
26,52
46,92
70,140
62,124
38,76
39,78
8,16
94,188
84,168
25,50
7,14
42,84
48,96
22,44
91,182
95,190
96,192
28,56
62,124
95,190
81,162
95,190
83,166
62,124
97,194
89,178
14,28
40,80
58,116
0,0
6,12
97,194
40,80
14,28
50,100
74,148
0,0
93,186
93,186
12,24
6,12
34,68
52,104
49,98
66,132
92,184
37,74
76,152
20,40
35,70
6,12
96,192
77,154
34,68
80,160
57,114
9,18
62,124
16,32
1,2
83,166
7,14
100,200
1,2
77,154
54,108
45,90
66,132
63,126
33,66
36,72
17,34
72,144
74,148
32,64
51,102
4,8
48,96
85,170
0,0
26,52
3,6
55,110
63,126
26,52
97,194
20,40
91,182
57,114
81,162
77,154
89,178
92,184
90,180
47,94
4,8
32,64
1,2
73,146
62,124
72,144
47,94
49,98
14,28
55,110
64,128
9,18
16,32
31,62
79,158
61,122
56,112
71,142
77,154
81,162
2,4
14,28
63,126
42,84
32,64
100,200
45,90
53,106
56,112
24,48
99,198
5,10
30,60
13,26
80,160
82,164
30,60
60,120
17,34
63,126
24,48
79,158
69,138
52,104
17,34
100,200
19,38
93,186
39,78
54,108
4,8
93,186
43,86
90,180
29,58
40,80
89,178
82,164
47,94
96,192
60,120
53,106
80,160
21,42
71,142
25,50
25,50
22,44
84,168
3,6
16,32
22,44
17,34
93,186
50,100
59,118
0,0
68,136
86,172
26,52
40,80
35,70
33,66
37,74
51,102
85,170
58,116
94,188
70,140
93,186
54,108
88,176
11,22
38,76
22,44
51,102
1,2
84,168
41,82
100,200
43,86
11,22
7,14
61,122
100,200
29,58
12,24
89,178
69,138
99,198
82,164
15,30
29,58
46,92
52,104
5,10
52,104
0,0
22,44
42,84
100,200
1,2
52,104
57,114
13,26
35,70
78,156
100,200
71,142
70,140
58,116
91,182
18,36
50,100
18,36
9,18
65,130
42,84
76,152
83,166
92,184
1,2
84,168
14,28
61,122
93,186
83,166
71,142
12,24
82,164
25,50
75,150
10,20
75,150
86,172
34,68
16,32
58,116
82,164
12,24
7,14
11,22
45,90
86,172
1,2
95,190
20,40
0,0
35,70
88,176
70,140
47,94
95,190
61,122
43,86
84,168
97,194
32,64
48,96
7,14
62,124
27,54
83,166
61,122
66,132
23,46
88,176
4,8
28,56
74,148
36,72
48,96
37,74
90,180
72,144
17,34
39,78
78,156
36,72
39,78
77,154
3,6
55,110
48,96
52,104
5,10
66,132
92,184
59,118
27,54
75,150
85,170
67,134
61,122
92,184
45,90
61,122
58,116
63,126
12,24
97,194
73,146
56,112
30,60
63,126
62,124
30,60
59,118
23,46
33,66
92,184
70,140
67,134
61,122
92,184
52,104
44,88
26,52
93,186
4,8
84,168
89,178
10,20
27,54
94,188
17,34
70,140
78,156
48,96
60,120
81,162
3,6
8,16
27,54
7,14
78,156
28,56
4,8
68,136
80,160
57,114
62,124
63,126
87,174
67,134
9,18
42,84
44,88
40,80
26,52
42,84
71,142
75,150
87,174
42,84
40,80
20,40
0,0
69,138
16,32
65,130
74,148
37,74
16,32
5,10
35,70
33,66
80,160
88,176
82,164
40,80
4,8
89,178
44,88
38,76
90,180
55,110
59,118
1,2
27,54
91,182
67,134
2,4
77,154
14,28
40,80
8,16
55,110
10,20
79,158
18,36
56,112
14,28
58,116
8,16
23,46
22,44
88,176
37,74
75,150
57,114
5,10
83,166
67,134
26,52
58,116
64,128
1,2
64,128
59,118
82,164
64,128
43,86
47,94
89,178
42,84
65,130
72,144
62,124
61,122
100,200
56,112
12,24
23,46
61,122
48,96
25,50
47,94
31,62
67,134
65,130
53,106
24,48
51,102
28,56
82,164
50,100
83,166
83,166
26,52
90,180
8,16
68,136
71,142
79,158
43,86
14,28
84,168
10,20
99,198
76,152
27,54
96,192
74,148
98,196
26,52
30,60
82,164
6,12
27,54
6,12
88,176
38,76
30,60
16,32
84,168
0,0
55,110
82,164
12,24
21,42
56,112
0,0
1,2
94,188
66,132
46,92
53,106
86,172
24,48
1,2
20,40
35,70
47,94
9,18
82,164
70,140
92,184
36,72
54,108
77,154
7,14
58,116
86,172
84,168
60,120
85,170
69,138
60,120
41,82
78,156
21,42
93,186
20,40
75,150
40,80
36,72
42,84
84,168
84,168
89,178
67,134
78,156
18,36
57,114
98,196
8,16
19,38
74,148
65,130
69,138
70,140
27,54
32,64
26,52
27,54
36,72
91,182
50,100
92,184
68,136
64,128
21,42
74,148
42,84
79,158
9,18
36,72
51,102
80,160
